Version,Date,New_Features,Bugs,Improvements,Docs
3.10.4.8,5/21/2017,0,0,0,0
3.10.4.7,5/8/2017,0,0,0,0
3.10.4.6,4/26/2017,0,0,0,0
3.10.4.5,4/19/2017,0,0,0,0
3.10.4.4,4/15/2017,0,0,0,0
3.10.4.3,3/31/2017,0,0,0,0
3.10.4.2,3/18/2017,0,0,0,0
3.10.4.1,3/3/2017,0,0,0,0
3.10.3.5,2/16/2017,0,0,0,0
3.10.3.4,2/3/2017,0,0,0,0
3.10.3.3,2/2/2017,0,0,0,0
3.10.3.2,1/31/2017,0,0,0,0
3.10.3.1,1/30/2017,0,0,0,0
3.10.2.2,1/12/2017,0,0,0,0
3.10.2.1,12/22/2016,0,0,0,0
3.10.1.2,12/14/2016,0,0,0,0
3.10.0.9,10/25/2016,0,0,0,0
3.10.0.8,10/10/2016,0,0,0,0
3.10.0.7,9/19/2016,0,0,0,0
3.10.0.6,8/25/2016,0,0,0,0
3.10.0.3,7/29/2016,0,0,0,0
3.10.0.10,11/7/2016,0,0,0,0
